ablation_value,comparison,delta,fixture_id,l4_value,metric
1651.1176470588234,L4 minus L4_no_push,-1.3051470588234224,final-v1:long_chain_fork:late_notice:business-0,1649.8125,tokens_per_decision
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,unsafe_rate
0.0,L4 minus L4_no_fact,0.25,final-v1:long_chain_fork:late_notice:business-0,0.25,safe_rate
0.0,L4 minus L4_no_fact,0.5,final-v1:long_chain_fork:late_notice:business-0,0.5,unrelated_retention
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L4_no_fact,0.0,final-v1:long_chain_fork:late_notice:business-0,1.0,route_coverage
2726.0555555555557,L4 minus L4_no_fact,-1076.2430555555557,final-v1:long_chain_fork:late_notice:business-0,1649.8125,tokens_per_decision
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,unsafe_rate
0.25,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:late_notice:business-0,0.25,safe_rate
0.5,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:late_notice:business-0,0.5,unrelated_retention
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L4_no_recovery,0.0,final-v1:long_chain_fork:late_notice:business-0,1.0,route_coverage
3569.5263157894738,L4 minus L4_no_recovery,-1919.7138157894738,final-v1:long_chain_fork:late_notice:business-0,1649.8125,tokens_per_decision
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,unsafe_rate
0.0,L4 minus L3_coarse,0.25,final-v1:long_chain_fork:late_notice:business-0,0.25,safe_rate
0.0,L4 minus L3_coarse,0.5,final-v1:long_chain_fork:late_notice:business-0,0.5,unrelated_retention
0.5,L4 minus L3_coarse,-0.5,final-v1:long_chain_fork:late_notice:business-0,0.0,overfreeze_rate
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:late_notice:business-0,1.0,route_coverage
1687.7368421052631,L4 minus L3_coarse,-37.92434210526312,final-v1:long_chain_fork:late_notice:business-0,1649.8125,tokens_per_decision
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,unsafe_rate
0.0,L4 minus verify_all,0.25,final-v1:long_chain_fork:late_notice:business-0,0.25,safe_rate
0.0,L4 minus verify_all,0.5,final-v1:long_chain_fork:late_notice:business-0,0.5,unrelated_retention
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,overfreeze_rate
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:late_notice:business-0,1.0,route_coverage
2717.6666666666665,L4 minus verify_all,-1067.8541666666665,final-v1:long_chain_fork:late_notice:business-0,1649.8125,tokens_per_decision
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:root_retraction:business-0,0.0,unsafe_rate
0.5,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:root_retraction:business-0,0.5,safe_rate
1.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:root_retraction:business-0,1.0,unrelated_retention
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:root_retraction:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:root_retraction:business-0,0.0,propagation_handoffs_per_task
