scenario,seed,ablation_node,alignment,protocol,target,w_omit,converged,rounds,social_cost,social_optimum,observed_poa,expected_checks,optimal_checks,over_check_ratio,exploitability,converged_starts,starts,check_ratio_min,check_ratio_max
letter_of_credit,0,,baseline,black_box,resp-Omission@0.5,0.5,True,2,2.0319552607355105,1.9223682304406817,1.057006263711353,1.12,1.274054648,0.8790831710069631,0.0,2,2,0.8790831710069631,0.8790831710069631
letter_of_credit,0,,baseline,black_box,resp-Omission@1,1.0,True,2,1.9348139955067811,1.9223682304406817,1.0064741837016555,1.274054648,1.274054648,1.0,0.0,2,2,1.0,1.0
letter_of_credit,0,,baseline,black_box,resp-Omission@2,2.0,True,2,1.9348139955067811,1.9223682304406817,1.0064741837016555,1.274054648,1.274054648,1.0,0.0,2,2,1.0,1.0
letter_of_credit,0,,baseline,certificate,selfish,,True,1,5.07172336703094,1.9223682304406817,2.638268405979797,0.0,1.274054648,0.0,0.0,2,2,0.0,0.8790831710069631
letter_of_credit,0,,baseline,certificate,resp-Proportional,,True,2,5.07172336703094,1.9223682304406813,2.6382684059797974,0.0,1.274054648,0.0,0.0,2,2,0.0,0.0
letter_of_credit,0,,baseline,certificate,resp-Omission@0,0.0,True,2,5.07172336703094,1.9223682304406813,2.6382684059797974,0.0,1.274054648,0.0,0.0,2,2,0.0,0.0
letter_of_credit,0,,baseline,certificate,resp-Omission@0.5,0.5,True,2,2.0319552607355105,1.9223682304406817,1.057006263711353,1.12,1.274054648,0.8790831710069631,0.0,2,2,0.8790831710069631,0.8790831710069631
letter_of_credit,0,,baseline,certificate,resp-Omission@1,1.0,True,2,1.9348139955067811,1.9223682304406817,1.0064741837016555,1.274054648,1.274054648,1.0,0.0,2,2,1.0,1.0
letter_of_credit,0,,baseline,certificate,resp-Omission@2,2.0,True,2,1.9348139955067811,1.9223682304406817,1.0064741837016555,1.274054648,1.274054648,1.0,0.0,2,2,1.0,1.0
letter_of_credit,0,,baseline,verified_certificate,selfish,,True,1,5.07172336703094,1.9223682304406817,2.638268405979797,0.0,1.274054648,0.0,0.0,2,2,0.0,0.8790831710069631
letter_of_credit,0,,baseline,verified_certificate,resp-Proportional,,True,2,5.07172336703094,1.9223682304406813,2.6382684059797974,0.0,1.274054648,0.0,0.0,2,2,0.0,0.0
letter_of_credit,0,,baseline,verified_certificate,resp-Omission@0,0.0,True,2,5.07172336703094,1.9223682304406813,2.6382684059797974,0.0,1.274054648,0.0,0.0,2,2,0.0,0.0
letter_of_credit,0,,baseline,verified_certificate,resp-Omission@0.5,0.5,True,2,2.0319552607355105,1.9223682304406817,1.057006263711353,1.12,1.274054648,0.8790831710069631,0.0,2,2,0.8790831710069631,0.8790831710069631
letter_of_credit,0,,baseline,verified_certificate,resp-Omission@1,1.0,True,2,1.9348139955067811,1.9223682304406817,1.0064741837016555,1.274054648,1.274054648,1.0,0.0,2,2,1.0,1.0
letter_of_credit,0,,baseline,verified_certificate,resp-Omission@2,2.0,True,2,1.9348139955067811,1.9223682304406817,1.0064741837016555,1.274054648,1.274054648,1.0,0.0,2,2,1.0,1.0
